;;;;
1;Pos;mantabs jokowi2periode @noezon26/04/2018;;
2;Pos;yess jokowi2periode 2019jokowimaruf @MasTBP_26/04/2018;;
3;Pos;yups sing penting jokowi2periode 2019jokowimaruf @FrennyPahibe26/04/2018;;
4;Pos;love you full presiden jokowi jokowi2periode jokowi2periode@tuti20/04/2018;;
5;Pos;jokowi2periode jokowi2periode say no to golput @haebitdalbit20/04/2018;;
6;Pos;jokowi2periode jokowi2periode say no to golput jokowi2periode 2019tetapjokowi 2019jokowikyaimaruf @japsiong05/04/2020;;
7;Pos;love you full presiden jokowi jokowi2periode jokowi2periode jokowi2periode 2019tetapjokowi 2019jokowikyaimaruf@PANDHITADHYA02/04/2020;;
8;Pos;done 2019tetapjokowi jokowimilikrakyat jokowi2periode @Haryant4278716 20/03/2018;;
9;Pos;love you full presiden jokowi jokowi2periode jokowi2periode jokowi2periode 2019tetapjokowi 2019jokowikyaimaruf@hemaviton99 10/03/2018;;
10;Pos;jokowi2periode jokowi2periode say no to golput jokowi2periode 2019tetapjokowi 2019jokowikyaimaruf@bagasrt 26/03/2018;;
11;Neg;were going to 2 periodee<U+0001F4AA> jokowi2periodeiode 2019tetapjokowi 2019jokowikyaimaruf;;
12;Neg;2019 optimis jokowiaminlebihbaik jokowiorangbaik jokowilagi jokowi2periode jokowiharapanpasti?;;
13;Neg;jokowi2periode 01indonesiamaju winteriscomingcrazyinnasia fitting a handle <U+0001F602>;;
14;Neg;jokowi2periode jokowi2periode say no to golput jokowi2periode 2019tetapjokowi 2019jokowikyaimaruf;;
15;Neg;i like it jokowilagi 2019pilihjokowi jokowi2periodekoalisiprabohong wowocapresabadi prabowotakuttesngaji;;
16;Neg;love you full presiden jokowi jokowi2periode jokowi2periode jokowi2periode 2019tetapjokowi 2019jokowikyaimaruf;;
17;Neg;mantabs jokowi2periode jokowi2periode 2019tetapjokowi;;
18;Neg;yess jokowi2periode 2019jokowimaruf jokowi2periode 2019tetapjokowi;;
19;Neg;mantabs jokowi2periode jokowi2periode 2019tetapjokowi;;
20;Neg;yups sing penting jokowi2periode 2019jokowimaruf jokowi2periode 2019tetapjokowi;;
